GPR Method,Donor,Acceptor,RMSE(train),RMSE(test),R2,dR2,R2_Proxy,R2CV_Proxy,RMSE_Proxy,Target Parameter,Used Proxies,Available Proxies,dR2s[1],dR2s[2],dR2s[3],dR2s[4],dR2s[5],dR2s[6],dR2s[7],dR2s_2[1],dR2s_2[2],dR2s_2[3],dR2s_2[4],dR2s_2[5],dR2s_2[6],dR2s_2[7],RMSE[1],RMSE[2],RMSE[3],RMSE[4],RMSE[5],RMSE[6],RMSE[7],MainPath,length_scales_start,length_scale_lims,ShuffleTimes,MainFolderName,HowManyBestPixelsPerSubstrate
PlanToIV,PTQ10,ITIC,0.16533,0.17158,0.871,0.822,0.879,0.847,0.16557,PCE_IV,"plan_Solutions_1_speed, plan_Solutions_1_ann. time, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.836,0.037,0.006,-1,-1,-1,-1,0.0095,0.0147,0.0095,-1,-1,-1,-1,0.18924,0.16702,0.16557,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToIV,PTQ10,ITIC,0.696,0.71763,0.894,0.901,0.897,0.878,0.69746,FF_IV,"plan_Solutions_1_speed, plan_Solutions_1_ann. time, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.767,0.094,0.035,-1,-1,-1,-1,0.0174,0.0205,0.0035,-1,-1,-1,-1,1.0784,0.80101,0.69746,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToIV,PTQ10,ITIC,0.34072,0.37434,0.61,0.522,0.607,0.52,0.34436,JSC_IV,"plan_Solutions_1_speed, plan_Solutions_1_ann. time, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.594,-0.003,0.015,-1,-1,-1,-1,0.0679,0.0149,0.026,-1,-1,-1,-1,0.36448,0.32604,0.34436,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToIV,PTQ10,ITIC,0.0027,0.00289,0.973,0.961,0.971,0.957,0.00283,VOC_IV,"plan_Solutions_1_speed, plan_Solutions_1_conc., plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.873,0.096,0.003,-1,-1,-1,-1,0.0046,0.0013,0.001,-1,-1,-1,-1,0.00591,0.00288,0.00283,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,ITIC,0.0013,0.00135,0.966,0.955,0.965,0.958,0.00126,features_D.1.c_UV,"plan_Solutions_1_speed, plan_Solutions_1_ann. time, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.897,0.052,0.017,-1,-1,-1,-1,0.0065,0.0023,0.0011,-1,-1,-1,-1,0.00219,0.00165,0.00126,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,ITIC,0.00085,0.00087,0.977,0.967,0.977,0.954,0.00086,features_D.1a.w_UV,"plan_Solutions_1_speed, plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.921,0.056,-1,-1,-1,-1,-1,0.0056,0.0015,-1,-1,-1,-1,-1,0.00159,0.00086,-1,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,ITIC,0.00069,0.00071,0.982,0.981,0.982,0.981,0.00065,features_D.1a.c_UV,"plan_Solutions_1_speed, plan_Solutions_1_ann. time, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.956,0.025,0.001,-1,-1,-1,-1,0.0028,0.0015,0.0011,-1,-1,-1,-1,0.00106,0.00067,0.00065,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,ITIC,0.02833,0.02987,0.882,0.819,0.96,0.95,0.0178,features_D.2.a_UV,"plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.461,0.266,0.233,-1,-1,-1,-1,0.0254,0.1484,0.0195,-1,-1,-1,-1,0.06319,0.04643,0.0178,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,ITIC,0.00212,0.00221,0.875,0.84,0.878,0.835,0.00223,features_A.0.a_UV,"plan_Solutions_1_speed, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.754,0.123,-1,-1,-1,-1,-1,0.0146,0.0048,-1,-1,-1,-1,-1,0.00308,0.00223,-1,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
PlanToSpectralParameters,PTQ10,ITIC,0.00058,0.00058,0.987,0.984,0.987,0.986,0.00056,features_A.1.w_UV,"plan_Solutions_1_speed, plan_Solutions_1_conc.","plan_Solutions_1_conc., plan_Solutions_1_speed, plan_Solutions_1_ann. time",0.984,0.003,-1,-1,-1,-1,-1,0.0006,0.0006,-1,-1,-1,-1,-1,0.00064,0.00056,-1,-1,-1,-1,-1,PTQ10-ITIC,11,"(11, 1000)",20,2026-04-15_08-47-49_IndividualMaterials,4
