plan_Info_PID,plan_Solutions_1_M1,plan_Solutions_1_M2,plan_Solutions_1_S1,plan_Solutions_1_ann. time,plan_Solutions_1_conc.,plan_Solutions_1_speed,features_A.1.c_UV,features_A.1a.a_UV,features_A.1a.c_UV,features_A.1a.w_UV,features_A_UV,features_Atot_UV,features_D.1.w_UV,features_D.1a.a_UV,features_D.1a.c_UV,features_D.1a.w_UV,features_D.2.a_UV,features_D_UV,features_Dtot_UV,features_XA_UV,features_XD_UV,features_XamA_UV,features_XamD_UV,features_atot_UV,FF_IV,JSC_IV,PCE_IV,VOC_IV,date_IV,pos_IV,sigp_IV,xpos_IV,ypos_IV,EnergyLevel_HOMO_Acceptor,EnergyLevel_HOMO_Donor,EnergyLevel_LUMO_Acceptor,EnergyLevel_LUMO_Donor,EnergyLevel_Offset,plan2_Solutions_1_M1,plan2_Solutions_1_M2,plan2_Solutions_1_S1,FitSessionName,Overall_FitSessionName,date_UV,name_UV,pos_UV,res_UV,xpos_UV,ypos_UV,PseudoFeature_M1,PseudoFeature_M2,HotOneEncoded_plan_Solutions_1_M1_PM6_321136,HotOneEncoded_plan_Solutions_1_M1_PTVT-T_321032,HotOneEncoded_plan_Solutions_1_M1_PTQ10_321145,HotOneEncoded_plan_Solutions_1_M1_PCE10_120058,HotOneEncoded_plan_Solutions_1_M1_D18CL_323001,HotOneEncoded_plan_Solutions_1_M2_BTP-4F-12 (Y12)_321125,HotOneEncoded_plan_Solutions_1_M2_ITIC_120057,HotOneEncoded_plan_Solutions_1_M2_ITIC-4F_120033,HotOneEncoded_plan_Solutions_1_M2_L8-BO_321144,HotOneEncoded_plan_Solutions_1_M2_PY-IT_321127,Paper_PID
25288,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,27,2000,1.527810743,0.7,1.696544451,0.105753653,0.34030145,0.578512466,0.071857929,0.61,2.147231026,0.086948611,0.822590813,0.307733262,0.495450552,0.538670752,0.461329248,0.411764706,0.378881988,1.073963018,47.9164555,24.64660334,9.778906442,0.828034688,13.11.2023 14:10,B-3,5.19E-07,1.4,0.6,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt,24.10.2023 13:30,25288_187767_OD_x3y2,x3y2,0.005317352,1.4,0.6,1,1,1,0,0,0,0,1,0,0,0,0,1
25288,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,27,2000,1.52799127,0.7,1.69663684,0.105854857,0.341728623,0.580938659,0.071761201,0.61,2.147098771,0.086830205,0.825783168,0.308406281,0.496534113,0.539167832,0.460832168,0.411764706,0.378881988,1.077472772,47.80576817,24.20833204,9.596256312,0.829194992,13.11.2023 14:10,A-3,1.75E-06,1.4,1.4,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt,24.10.2023 13:30,25288_187767_OD_x3y1,x3y1,0.00530163,1.4,1.4,1,1,1,0,0,0,0,1,0,0,0,0,1
25288,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,27,2000,1.527505154,0.7,1.696344806,0.105867142,0.341531544,0.580603626,0.071858769,0.61,2.147272677,0.086993979,0.822378647,0.309149194,0.497730203,0.538426608,0.461573392,0.411764706,0.378881988,1.078333829,47.56083048,24.32561568,9.581414878,0.828164052,13.11.2023 14:10,B-1,5.13E-07,0.6,0.6,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt,24.10.2023 13:30,25288_187767_OD_x1y2,x1y2,0.005311567,0.6,0.6,1,1,1,0,0,0,0,1,0,0,0,0,1
25288,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,27,2000,1.527785171,0.7,1.696546437,0.105876596,0.341730075,0.580941127,0.071826021,0.61,2.14735387,0.086915012,0.822228857,0.309019956,0.49752213,0.538674937,0.461325063,0.411764706,0.378881988,1.078463257,47.62976296,24.21433651,9.573079611,0.830043163,13.11.2023 14:10,A-1,5.55E-07,0.6,1.4,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt,24.10.2023 13:30,25288_187767_OD_x1y1,x1y1,0.005302612,0.6,1.4,1,1,1,0,0,0,0,1,0,0,0,0,1
25289,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,25,2000,1.529213556,0.7,1.696407879,0.1037541,0.297735265,0.506149951,0.072545208,0.61,2.147293171,0.087956171,0.804550276,0.276013049,0.444381009,0.53249181,0.46750819,0.411764706,0.378881988,0.95053096,51.8182822,27.23962347,11.67990146,0.827475353,13.11.2023 14:13,B-3,2.56E-06,1.4,0.6,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt,24.10.2023 13:35,25289_187768_OD_x3y2,x3y2,0.00633591,1.4,0.6,1,1,1,0,0,0,0,1,0,0,0,0,2
25289,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,25,2000,1.528635065,0.7,1.69617122,0.104029075,0.299683777,0.509462421,0.072403235,0.61,2.147117519,0.087737988,0.809700752,0.276999725,0.445969557,0.533227308,0.466772692,0.411764706,0.378881988,0.955431978,51.38096039,27.30688007,11.61874816,0.828104296,13.11.2023 14:13,B-1,4.33E-06,0.6,0.6,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt,24.10.2023 13:35,25289_187768_OD_x1y2,x1y2,0.006198761,0.6,0.6,1,1,1,0,0,0,0,1,0,0,0,0,2
25289,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,25,2000,1.529084322,0.7,1.696445975,0.103821319,0.30001906,0.510032402,0.072557949,0.61,2.147250814,0.087982825,0.805271849,0.27779751,0.44725399,0.532789776,0.467210224,0.411764706,0.378881988,0.957286393,51.84126249,26.98428297,11.58858356,0.828407276,13.11.2023 14:13,A-3,2.46E-06,1.4,1.4,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt,24.10.2023 13:35,25289_187768_OD_x3y1,x3y1,0.006238695,1.4,1.4,1,1,1,0,0,0,0,1,0,0,0,0,2
25289,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,25,2000,1.529022509,0.7,1.696419741,0.104111645,0.304147322,0.517050447,0.072362457,0.61,2.147123417,0.087686449,0.810013739,0.280955692,0.452338664,0.53337761,0.46662239,0.411764706,0.378881988,0.969389111,50.93764906,27.17650194,11.4837477,0.82956647,13.11.2023 14:13,A-1,3.81E-06,0.6,1.4,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt,24.10.2023 13:35,25289_187768_OD_x1y1,x1y1,0.006146545,0.6,1.4,1,1,1,0,0,0,0,1,0,0,0,0,2
25290,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,23,2000,1.529036798,0.7,1.696618825,0.104508334,0.248649642,0.422704392,0.071536881,0.61,2.145990866,0.087186521,0.818806077,0.226765117,0.365091838,0.536565644,0.463434356,0.411764706,0.378881988,0.787796231,58.52467295,26.37225273,12.81880177,0.83054125,13.11.2023 14:15,A-1,8.11E-07,0.6,1.4,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt,24.10.2023 13:41,25290_187773_OD_x1y1,x1y1,0.006355631,0.6,1.4,1,1,1,0,0,0,0,1,0,0,0,0,3
25290,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,23,2000,1.52959904,0.7,1.69675346,0.104305849,0.250095185,0.425161815,0.071582019,0.61,2.146177143,0.087272617,0.816173475,0.228579649,0.368013235,0.5360252,0.4639748,0.411764706,0.378881988,0.79317505,58.39748995,26.383395,12.78568531,0.829849145,13.11.2023 14:15,B-1,1.12E-06,0.6,0.6,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-2bands-NoBG-ZnOCorr-NoInt,24.10.2023 13:41,25290_187773_OD_x1y2,x1y2,0.00647864,0.6,0.6,1,1,1,0,0,0,0,1,0,0,0,0,3
