plan_Info_PID,plan_Solutions_1_M1,plan_Solutions_1_M2,plan_Solutions_1_S1,plan_Solutions_1_ann. time,plan_Solutions_1_conc.,plan_Solutions_1_speed,features_A.1.c_UV,features_A.1.w_UV,features_A.1a.w_UV,features_A.2.a_UV,features_A_UV,features_Atot_UV,features_D.1.c_UV,features_D.1.w_UV,features_D.1a.a_UV,features_D.1a.c_UV,features_D.1a.w_UV,features_D.2.a_UV,features_D.2.c_UV,features_D.2.w_UV,features_D_UV,features_Dtot_UV,features_XA_UV,features_XD_UV,features_XamA_UV,features_XamD_UV,features_atot_UV,FF_IV,JSC_IV,PCE_IV,VOC_IV,date_IV,pos_IV,sigp_IV,xpos_IV,ypos_IV,EnergyLevel_HOMO_Acceptor,EnergyLevel_HOMO_Donor,EnergyLevel_LUMO_Acceptor,EnergyLevel_LUMO_Donor,EnergyLevel_Offset,plan2_Solutions_1_M1,plan2_Solutions_1_M2,plan2_Solutions_1_S1,FitSessionName,Overall_FitSessionName,FOM_UV,date_UV,name_UV,pos_UV,res_UV,xpos_UV,ypos_UV,PseudoFeature_M1,PseudoFeature_M2,HotOneEncoded_plan_Solutions_1_M1_PM6_321136,HotOneEncoded_plan_Solutions_1_M1_PTVT-T_321032,HotOneEncoded_plan_Solutions_1_M1_PTQ10_321145,HotOneEncoded_plan_Solutions_1_M1_PCE10_120058,HotOneEncoded_plan_Solutions_1_M1_D18CL_323001,HotOneEncoded_plan_Solutions_1_M2_BTP-4F-12 (Y12)_321125,HotOneEncoded_plan_Solutions_1_M2_ITIC_120057,HotOneEncoded_plan_Solutions_1_M2_ITIC-4F_120033,HotOneEncoded_plan_Solutions_1_M2_L8-BO_321144,HotOneEncoded_plan_Solutions_1_M2_PY-IT_321127,Paper_PID
25288,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,27,2000,1.523538019,0.06702985,0.101697487,0.360634479,0.304518229,0.517680988,1.97474413,0.063834997,0.61,2.105300304,0.08422848,0.9,2.280000015,0.116925613,0.256719679,0.413318683,0.556048519,0.443951481,0.411764705,0.378881988,0.930999671,47.9164555,24.64660334,9.778906442,0.828034688,13.11.2023 14:10,B-3,5.19E-07,1.4,0.6,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-3bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-3bands-NoBG-ZnOCorr-NoInt,556193146.1,24.10.2023 13:30,25288_187767_OD_x3y2,x3y2,0.005317352,1.4,0.6,1,1,1,0,0,0,0,1,0,0,0,0,1
25288,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,27,2000,1.523854278,0.067131217,0.102065253,0.357582139,0.306154473,0.520462604,1.9748139,0.064032291,0.609999993,2.105943684,0.08454799,0.9,2.28174311,0.117839556,0.258596282,0.416340012,0.555573388,0.444426612,0.411764705,0.378881985,0.936802616,47.80576817,24.20833204,9.596256312,0.829194992,13.11.2023 14:10,A-3,1.75E-06,1.4,1.4,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-3bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-3bands-NoBG-ZnOCorr-NoInt,555439154.8,24.10.2023 13:30,25288_187767_OD_x3y1,x3y1,0.00530163,1.4,1.4,1,1,1,0,0,0,0,1,0,0,0,0,1
25288,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,27,2000,1.523088657,0.066995403,0.102344286,0.39305139,0.301905047,0.51323858,1.9753454,0.064037801,0.61,2.10705612,0.083832022,0.9,2.281179508,0.116065796,0.255848846,0.411916642,0.554759426,0.445240574,0.411764706,0.378881988,0.925155222,47.56083048,24.32561568,9.581414878,0.828164052,13.11.2023 14:10,B-1,5.13E-07,0.6,0.6,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-3bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-3bands-NoBG-ZnOCorr-NoInt,576649678.8,24.10.2023 13:30,25288_187767_OD_x1y2,x1y2,0.005311567,0.6,0.6,1,1,1,0,0,0,0,1,0,0,0,0,1
25288,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,27,2000,1.523514432,0.06708563,0.102383409,0.380481886,0.303529526,0.516000194,1.975092375,0.064017781,0.61,2.106477679,0.084038771,0.9,2.280575651,0.116432064,0.256454884,0.412892364,0.555500407,0.444499593,0.411764706,0.378881988,0.928892558,47.62976296,24.21433651,9.573079611,0.830043163,13.11.2023 14:10,A-1,5.55E-07,0.6,1.4,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-3bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-3bands-NoBG-ZnOCorr-NoInt,543495094.6,24.10.2023 13:30,25288_187767_OD_x1y1,x1y1,0.005302612,0.6,1.4,1,1,1,0,0,0,0,1,0,0,0,0,1
25289,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,25,2000,1.523489236,0.064012511,0.098345626,0.462345718,0.256671324,0.436341251,1.97709464,0.063147406,0.61,2.108399822,0.081691248,0.899999999,2.28,0.112436124,0.221928598,0.357305044,0.549793093,0.450206907,0.411764706,0.378881988,0.793646294,51.8182822,27.23962347,11.67990146,0.827475353,13.11.2023 14:13,B-3,2.56E-06,1.4,0.6,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-3bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-3bands-NoBG-ZnOCorr-NoInt,762772927,24.10.2023 13:35,25289_187768_OD_x3y2,x3y2,0.00633591,1.4,0.6,1,1,1,0,0,0,0,1,0,0,0,0,2
25289,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,25,2000,1.522817148,0.064121858,0.098481716,0.467525898,0.257807546,0.438272828,1.977134822,0.062986785,0.61,2.108580743,0.081373313,0.9,2.28,0.111988779,0.222661621,0.35848521,0.550070168,0.449929832,0.411764706,0.378881988,0.796758038,51.38096039,27.30688007,11.61874816,0.828104296,13.11.2023 14:13,B-1,4.33E-06,0.6,0.6,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-3bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-3bands-NoBG-ZnOCorr-NoInt,708484285.5,24.10.2023 13:35,25289_187768_OD_x1y2,x1y2,0.006198761,0.6,0.6,1,1,1,0,0,0,0,1,0,0,0,0,2
25289,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,25,2000,1.523374719,0.064167171,0.098464429,0.460928965,0.258769283,0.439907781,1.976946091,0.0631515,0.61,2.108240191,0.081675575,0.9,2.28,0.11235843,0.223479343,0.359801742,0.55008446,0.44991554,0.411764706,0.378881988,0.799709522,51.84126249,26.98428297,11.58858356,0.828407276,13.11.2023 14:13,A-3,2.46E-06,1.4,1.4,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-3bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-3bands-NoBG-ZnOCorr-NoInt,736983278.7,24.10.2023 13:35,25289_187768_OD_x3y1,x3y1,0.006238695,1.4,1.4,1,1,1,0,0,0,0,1,0,0,0,0,2
25289,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,25,2000,1.52348642,0.064440402,0.098657736,0.442130494,0.264050298,0.448885506,1.976737576,0.063144325,0.61,2.107742326,0.082001018,0.899999996,2.28,0.113206607,0.227668363,0.366546065,0.55048826,0.44951174,0.411764706,0.378881988,0.815431571,50.93764906,27.17650194,11.4837477,0.82956647,13.11.2023 14:13,A-1,3.81E-06,0.6,1.4,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-3bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-3bands-NoBG-ZnOCorr-NoInt,707826897.6,24.10.2023 13:35,25289_187768_OD_x1y1,x1y1,0.006146545,0.6,1.4,1,1,1,0,0,0,0,1,0,0,0,0,2
25290,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,23,2000,1.524235618,0.064874404,0.102725509,0.5,0.211723629,0.35993017,1.97569196,0.063342869,0.61,2.108986789,0.081745151,0.9,2.280208553,0.111730417,0.180820723,0.291121365,0.552844362,0.447155638,0.411764706,0.378881988,0.651051534,58.52467295,26.37225273,12.81880177,0.83054125,13.11.2023 14:15,A-1,8.11E-07,0.6,1.4,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-3bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-3bands-NoBG-ZnOCorr-NoInt,4465862311,24.10.2023 13:41,25290_187773_OD_x1y1,x1y1,0.006355631,0.6,1.4,1,1,1,0,0,0,0,1,0,0,0,0,3
25290,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,23,2000,1.524789687,0.064556547,0.102397349,0.5,0.212958614,0.362029643,1.975859393,0.063320014,0.61,2.108998614,0.081737632,0.9,2.28,0.111667998,0.182084186,0.29315554,0.552560792,0.447439208,0.411764706,0.378881988,0.655185183,58.39748995,26.383395,12.78568531,0.829849145,13.11.2023 14:15,B-1,1.12E-06,0.6,0.6,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-3bands-NoBG-ZnOCorr-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-3bands-NoBG-ZnOCorr-NoInt,4281146965,24.10.2023 13:41,25290_187773_OD_x1y2,x1y2,0.00647864,0.6,0.6,1,1,1,0,0,0,0,1,0,0,0,0,3
