plan_Info_PID,plan_Solutions_1_M1,Donor,plan_Solutions_1_M2,Acceptor,DA,Identifier,plan_Solutions_1_S1,plan_Solutions_1_ann. time,plan_Solutions_1_conc.,plan_Solutions_1_speed,Layer thickness [nm],features_D.1.c_UV,features_D.1a.w_UV,features_D.1a.c_UV,features_D.2.a_UV,features_A.0.a_UV,features_A.1.w_UV,features_A.1.c_UV,features_A.1a.w_UV,features_A.1a.c_UV,features_D_UV,features_A_UV,features_Dtot_UV,features_XamD_UV,features_Atot_UV,features_XamA_UV,features_atot_UV,features_XD_UV,features_XA_UV,featuresFixed_D.1a.a,featuresFixed_A.1a.a,featuresFixed_A.2.a,FF_IV,JSC_IV,PCE_IV,VOC_IV,RelativeAbsorbedPhotons,EQE_CorrFactor,Corr_JSC_IV,CorrEQE_JSC_IV,Corr_VOC_IV,Deg_JSC_IV,Deg_VOC_IV,Deg_FF_IV,Deg_PCE_IV,DiffDeg_JSC_IV,DiffDeg_VOC_IV,DiffDeg_FF_IV,DiffDeg_PCE_IV,Retained_JSC_IV,Retained_VOC_IV,Retained_FF_IV,Retained_PCE_IV,date_IV,pos_IV,sigp_IV,xpos_IV,ypos_IV,EnergyLevel_HOMO_Acceptor,EnergyLevel_HOMO_Donor,EnergyLevel_LUMO_Acceptor,EnergyLevel_LUMO_Donor,EnergyLevel_Offset,BandGapDonor,BandGapAcceptor,LUMOAcceptrCalc,LUMODonorCalc,Offset,,offset - voc,plan2_Solutions_1_M1,plan2_Solutions_1_M2,plan2_Solutions_1_S1,FitSessionName,Overall_FitSessionName,FOM_UV,date_UV,name_UV,pos_UV,res_UV,xpos_UV,ypos_UV,PseudoFeature_M1,PseudoFeature_M2,HotOneEncoded_plan_Solutions_1_M1_PM6_321136,HotOneEncoded_plan_Solutions_1_M1_PTVT-T_321032,HotOneEncoded_plan_Solutions_1_M1_PTQ10_321145,HotOneEncoded_plan_Solutions_1_M1_PCE10_120058,HotOneEncoded_plan_Solutions_1_M1_D18CL_323001,HotOneEncoded_plan_Solutions_1_M2_BTP-4F-12 (Y12)_321125,HotOneEncoded_plan_Solutions_1_M2_ITIC_120057,HotOneEncoded_plan_Solutions_1_M2_ITIC-4F_120033,HotOneEncoded_plan_Solutions_1_M2_L8-BO_321144,HotOneEncoded_plan_Solutions_1_M2_PY-IT_321127,Paper_PID,featuresDeg_D.1.c_UV,featuresDeg_D.1a.w_UV,featuresDeg_D.1a.c_UV,featuresDeg_D.2.a_UV,featuresDeg_A.0.a_UV,featuresDeg_A.1.w_UV,featuresDeg_A.1.c_UV,featuresDeg_A.1a.w_UV,featuresDeg_A.1a.c_UV,featuresDeg_D_UV,featuresDeg_A_UV,featuresDeg_Dtot_UV,featuresDeg_XamD_UV,featuresDeg_Atot_UV,featuresDeg_XamA_UV,featuresDeg_atot_UV,featuresDeg_XD_UV,featuresDeg_XA_UV,FeaturesChange_D.1a.w_UV,FeaturesChange_D.1a.c_UV,FeaturesChange_D.2.a_UV,FeaturesChange_A.0.a_UV,FeaturesChange_A.1.w_UV,FeaturesChange_A.1.c_UV,FeaturesChange_A.1a.w_UV,FeaturesChange_A.1a.c_UV,FeaturesChange_D_UV,FeaturesChange_A_UV,FeaturesChange_Dtot_UV,FeaturesChange_XamD_UV,FeaturesChange_Atot_UV,FeaturesChange_XamA_UV,FeaturesChange_atot_UV,FeaturesChange_XD_UV,FeaturesChange_XA_UV
25288,PM6_321136,PM6,BTP-4F-12 (Y12)_321125,Y12,PM6-Y12,25288_B-3,xylene,0,27,2000,213.3722591,2.00321,0.07991,2.16696,0.63371,0,0.07075,1.53142,0.09334,1.70186,0.39069,0.38291,0.53916,0.27536,0.58892,0.3498,1.12807,0.47795,0.52205,0.38,0.538,0.35,47.9164555,24.64660334,9.778906442,0.828034688,1.001309187,0.968900738,24.67887035,23.9113757,0.828034688,24.3264,0.7649,57.35,10.6705,0.32020334,0.063134688,-9.4335445,-0.891593558,0.987008216,0.923753571,1.19687484,1.09117518,13.11.2023 14:10,B-3,5.19E-07,1.4,0.6,5.53,5.33,3.77,3.38,1.56,1.920015901,1.406558059,4.123441941,3.409984099,1.206558059,1,0.378523371,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-NoWDonorWH2-AddInt-NewPTQ10BTP4F12-NoBG-ZnOCorr_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-NoWDonorWH2-AddInt-NewPTQ10BTP4F12-NoBG-ZnOCorr,0.258546014,24.10.2023 13:30,25288_187767_OD_x3y2,x3y2,0.005317352,1.4,0.6,1,1,1,0,0,0,0,1,0,0,0,0,1,1.998339069,0.078051672,2.163732357,0.692710583,0.002701672,0.069547644,1.510485481,0.095011964,1.689935615,0.385714918,0.390074687,0.532286587,0.275362319,0.599934869,0.349804941,1.132221456,0.470125861,0.529874139,-0.00487,-0.00185,-0.00322,0.059,0.0027,-0.00121,-0.02094,0.00167,-0.01193,-0.00498,0.00716,-0.00687,0,0.01102,0,0.00415,-0.00782
25288,PM6_321136,PM6,BTP-4F-12 (Y12)_321125,Y12,PM6-Y12,25288_A-3,xylene,0,27,2000,214.1618391,2.00329,0.07993,2.16692,0.6339,0.00024,0.07074,1.53158,0.09337,1.70191,0.39192,0.3844,0.54086,0.27536,0.59121,0.3498,1.13207,0.47776,0.52224,0.38,0.538,0.35,47.80576817,24.20833204,9.596256312,0.829194992,1.00033415,0.968900738,24.21642126,23.46330844,0.829194992,24.0074,0.7663,56.55,10.4031,0.20093204,0.062894992,-8.74423183,-0.806843688,0.991699881,0.924149334,1.182911648,1.084079006,13.11.2023 14:10,A-3,1.75E-06,1.4,1.4,5.53,5.33,3.77,3.38,1.56,1.920015901,1.406558059,4.123441941,3.409984099,1.206558059,1.001401275,0.377363067,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-NoWDonorWH2-AddInt-NewPTQ10BTP4F12-NoBG-ZnOCorr_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-NoWDonorWH2-AddInt-NewPTQ10BTP4F12-NoBG-ZnOCorr,0.256145679,24.10.2023 13:30,25288_187767_OD_x3y1,x3y1,0.00530163,1.4,1.4,1,1,1,0,0,0,0,1,0,0,0,0,1,1.998458654,0.078085769,2.163761809,0.692588728,0.001834981,0.069457634,1.510817215,0.095002154,1.689997811,0.381148926,0.38591933,0.525985518,0.275362319,0.59354393,0.349804941,1.119529448,0.469827318,0.530172682,-0.00483,-0.00185,-0.00316,0.05869,0.00159,-0.00128,-0.02076,0.00163,-0.01191,-0.01078,0.00152,-0.01487,0,0.00233,0,-0.01254,-0.00793
25288,PM6_321136,PM6,BTP-4F-12 (Y12)_321125,Y12,PM6-Y12,25288_B-1,xylene,0,27,2000,214.2545242,2.00317,0.07993,2.16699,0.63363,0.0003,0.07081,1.53113,0.0934,1.70167,0.39251,0.38423,0.54167,0.27536,0.59095,0.3498,1.13262,0.47824,0.52176,0.38,0.538,0.35,47.56083048,24.32561568,9.581414878,0.828164052,1.000095883,0.968900738,24.3279481,23.57136687,0.828164052,24.4861,0.7686,57.19,10.7628,-0.16048432,0.059564052,-9.62916952,-1.181385122,1.006597338,0.928076989,1.202460079,1.123299652,13.11.2023 14:10,B-1,5.13E-07,0.6,0.6,5.53,5.33,3.77,3.38,1.56,1.920015901,1.406558059,4.123441941,3.409984099,1.206558059,1.00015623,0.378394007,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-NoWDonorWH2-AddInt-NewPTQ10BTP4F12-NoBG-ZnOCorr_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-NoWDonorWH2-AddInt-NewPTQ10BTP4F12-NoBG-ZnOCorr,0.257108873,24.10.2023 13:30,25288_187767_OD_x1y2,x1y2,0.005311567,0.6,0.6,1,1,1,0,0,0,0,1,0,0,0,0,1,1.998548734,0.078081933,2.163900266,0.691552733,0.003417504,0.069505393,1.510589167,0.095022435,1.689912031,0.388361981,0.392557576,0.535939533,0.275362319,0.603753552,0.349804941,1.139693085,0.470249,0.529751,-0.00462,-0.00185,-0.00309,0.05792,0.00312,-0.0013,-0.02054,0.00162,-0.01175,-0.00415,0.00832,-0.00573,0,0.0128,0,0.00707,-0.00799
25288,PM6_321136,PM6,BTP-4F-12 (Y12)_321125,Y12,PM6-Y12,25288_A-1,xylene,0,27,2000,214.3026232,2.00326,0.07989,2.16707,0.63302,0.00049,0.07077,1.5314,0.09338,1.70185,0.39245,0.3844,0.54158,0.27536,0.59121,0.3498,1.13279,0.4781,0.5219,0.38,0.538,0.35,47.62976296,24.21433651,9.573079611,0.830043163,1,0.968900738,24.21433651,23.46128852,0.830043163,0.0085,0,0,0.0041,24.20583651,0.830043163,47.62976296,9.568979611,0.000351032,0,0,0.000428284,13.11.2023 14:10,A-1,5.55E-07,0.6,1.4,5.53,5.33,3.77,3.38,1.56,1.920015901,1.406558059,4.123441941,3.409984099,1.206558059,1.002425593,0.376514896,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-NoWDonorWH2-AddInt-NewPTQ10BTP4F12-NoBG-ZnOCorr_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-NoWDonorWH2-AddInt-NewPTQ10BTP4F12-NoBG-ZnOCorr,0.254432444,24.10.2023 13:30,25288_187767_OD_x1y1,x1y1,0.005302612,0.6,1.4,1,1,1,0,0,0,0,1,0,0,0,0,1,1.998472853,0.07806762,2.163787555,0.69316554,0.001674228,0.069432676,1.510896381,0.094974691,1.690050075,0.380020387,0.385523952,0.524428134,0.275362319,0.592935838,0.349804941,1.117363972,0.469344052,0.530655948,-0.00479,-0.00182,-0.00329,0.06015,0.00118,-0.00134,-0.02051,0.00159,-0.0118,-0.01243,0.00113,-0.01715,0,0.00173,0,-0.01542,-0.00875
25289,PM6_321136,PM6,BTP-4F-12 (Y12)_321125,Y12,PM6-Y12,25289_B-3,xylene,0,25,2000,187.7981907,2.00213,0.07994,2.16627,0.63599,0,0.06892,1.53299,0.09185,1.70207,0.34812,0.33551,0.48041,0.27536,0.51602,0.3498,0.99643,0.48213,0.51787,0.38,0.538,0.35,51.8182822,27.23962347,11.67990146,0.827475353,1.038721865,0.968900738,28.29439249,27.41445777,0.827475353,21.9534,0.7476,59.82,9.8173,5.28622347,0.079875353,-8.0017178,1.86260146,0.80593625,0.903471019,1.154418816,0.840529352,13.11.2023 14:13,B-3,2.56E-06,1.4,0.6,5.53,5.33,3.77,3.38,1.56,1.920015901,1.406558059,4.123441941,3.409984099,1.206558059,0.999324503,0.379082706,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-NoWDonorWH2-AddInt-NewPTQ10BTP4F12-NoBG-ZnOCorr_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-NoWDonorWH2-AddInt-NewPTQ10BTP4F12-NoBG-ZnOCorr,0.31803277,24.10.2023 13:35,25289_187768_OD_x3y2,x3y2,0.00633591,1.4,0.6,1,1,1,0,0,0,0,1,0,0,0,0,2,1.995711137,0.077702532,2.162057331,0.708463528,1.76E-28,0.068615553,1.508496023,0.094078352,1.688772533,0.34043327,0.337206618,0.469797913,0.275362319,0.518623779,0.349804941,0.988421691,0.475301096,0.524698904,-0.00642,-0.00224,-0.00421,0.07247,0,-0.0003,-0.02449,0.00223,-0.0133,-0.00769,0.00169,-0.01061,0,0.0026,0,-0.00801,-0.00683
25289,PM6_321136,PM6,BTP-4F-12 (Y12)_321125,Y12,PM6-Y12,25289_B-1,xylene,0,25,2000,188.9231124,2.00206,0.07987,2.16617,0.63774,0,0.06906,1.53238,0.09204,1.70177,0.34971,0.33762,0.48261,0.27536,0.51927,0.3498,1.00187,0.4817,0.5183,0.38,0.538,0.35,51.38096039,27.30688007,11.61874816,0.828104296,1.036881278,0.968900738,28.3139927,27.43344843,0.828104296,23.6684,0.7552,59.69,10.6694,3.63848007,0.072904296,-8.30903961,0.94934816,0.866755922,0.911962423,1.161714369,0.9182917,13.11.2023 14:13,B-1,4.33E-06,0.6,0.6,5.53,5.33,3.77,3.38,1.56,1.920015901,1.406558059,4.123441941,3.409984099,1.206558059,1.000084064,0.378453763,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-NoWDonorWH2-AddInt-NewPTQ10BTP4F12-NoBG-ZnOCorr_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-NoWDonorWH2-AddInt-NewPTQ10BTP4F12-NoBG-ZnOCorr,0.317426922,24.10.2023 13:35,25289_187768_OD_x1y2,x1y2,0.006198761,0.6,0.6,1,1,1,0,0,0,0,1,0,0,0,0,2,1.996084775,0.077776968,2.162340028,0.705423928,1.74E-28,0.068610122,1.508964222,0.09408532,1.689012903,0.342081104,0.338601351,0.472071923,0.275362319,0.520768878,0.349804941,0.992840801,0.47547595,0.52452405,-0.00598,-0.00209,-0.00383,0.06769,0,-0.00045,-0.02342,0.00205,-0.01276,-0.00763,0.00098,-0.01053,0,0.0015,0,-0.00903,-0.00623
25289,PM6_321136,PM6,BTP-4F-12 (Y12)_321125,Y12,PM6-Y12,25289_A-3,xylene,0,25,2000,189.1884675,2.00206,0.07995,2.16622,0.63678,0,0.06905,1.53287,0.09191,1.70211,0.35035,0.33809,0.48349,0.27536,0.51998,0.3498,1.00346,0.48182,0.51818,0.38,0.538,0.35,51.84126249,26.98428297,11.58858356,0.828407276,1.036386182,0.968900738,27.96613801,27.09641176,0.828407276,22.0958,0.7473,59.65,9.8482,4.88848297,0.081107276,-7.80873751,1.74038356,0.81883962,0.902092511,1.150627842,0.84981913,13.11.2023 14:13,A-3,2.46E-06,1.4,1.4,5.53,5.33,3.77,3.38,1.56,1.920015901,1.406558059,4.123441941,3.409984099,1.206558059,1.000449967,0.378150783,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-NoWDonorWH2-AddInt-NewPTQ10BTP4F12-NoBG-ZnOCorr_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-NoWDonorWH2-AddInt-NewPTQ10BTP4F12-NoBG-ZnOCorr,0.314726007,24.10.2023 13:35,25289_187768_OD_x3y1,x3y1,0.006238695,1.4,1.4,1,1,1,0,0,0,0,1,0,0,0,0,2,1.995512341,0.077645218,2.162007477,0.709772069,1.57E-28,0.06878151,1.508702534,0.093965606,1.689248765,0.339140019,0.334909602,0.468013227,0.275362319,0.515090967,0.349804941,0.983104194,0.476056586,0.523943414,-0.00654,-0.00231,-0.00421,0.07299,0,-0.00027,-0.02417,0.00205,-0.01286,-0.01121,-0.00318,-0.01547,0,-0.00489,0,-0.02036,-0.00576
25289,PM6_321136,PM6,BTP-4F-12 (Y12)_321125,Y12,PM6-Y12,25289_A-1,xylene,0,25,2000,191.7301476,2.00227,0.07992,2.16627,0.63626,0,0.06916,1.53275,0.09209,1.70199,0.35494,0.34261,0.48981,0.27536,0.52693,0.3498,1.01675,0.48174,0.51826,0.38,0.538,0.35,50.93764906,27.17650194,11.4837477,0.82956647,1.032346349,0.968900738,28.05556256,27.18305528,0.82956647,23.0289,0.7521,57.54,9.9661,4.14760194,0.07746647,-6.60235094,1.5176477,0.847382789,0.906618128,1.129616326,0.867843866,13.11.2023 14:13,A-1,3.81E-06,0.6,1.4,5.53,5.33,3.77,3.38,1.56,1.920015901,1.406558059,4.123441941,3.409984099,1.206558059,1.001849901,0.376991589,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-NoWDonorWH2-AddInt-NewPTQ10BTP4F12-NoBG-ZnOCorr_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-NoWDonorWH2-AddInt-NewPTQ10BTP4F12-NoBG-ZnOCorr,0.307699185,24.10.2023 13:35,25289_187768_OD_x1y1,x1y1,0.006146545,0.6,1.4,1,1,1,0,0,0,0,1,0,0,0,0,2,1.995901596,0.077722159,2.162278987,0.707521888,9.03E-36,0.068883065,1.508631489,0.094150903,1.689167362,0.34612138,0.34301721,0.477647505,0.275362319,0.527560468,0.349804941,1.005207973,0.475172817,0.524827183,-0.00637,-0.0022,-0.00399,0.07126,0,-0.00028,-0.02412,0.00206,-0.01282,-0.00882,0.00041,-0.01217,0,0.00063,0,-0.01154,-0.00657
25290,PM6_321136,PM6,BTP-4F-12 (Y12)_321125,Y12,PM6-Y12,25290_A-1,xylene,0,23,2000,155.6745536,2.0013,0.0803,2.16583,0.62744,0.00711,0.06867,1.53288,0.09147,1.70188,0.28866,0.2789,0.39836,0.27536,0.42894,0.3498,0.8273,0.48152,0.51848,0.38,0.538,0.35,58.52467295,26.37225273,12.81880177,0.83054125,1.101902399,0.968900738,29.05964856,28.15591494,0.83054125,23.1666,0.7636,62.93,11.1324,3.20565273,0.06694125,-4.40532705,1.68640177,0.878446003,0.919400451,1.075272989,0.868443104,13.11.2023 14:15,A-1,8.11E-07,0.6,1.4,5.53,5.33,3.77,3.38,1.56,1.920015901,1.406558059,4.123441941,3.409984099,1.206558059,1.003027122,0.376016809,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-NoWDonorWH2-AddInt-NewPTQ10BTP4F12-NoBG-ZnOCorr_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-NoWDonorWH2-AddInt-NewPTQ10BTP4F12-NoBG-ZnOCorr,0.306084085,24.10.2023 13:41,25290_187773_OD_x1y1,x1y1,0.006355631,0.6,1.4,1,1,1,0,0,0,0,1,0,0,0,0,3,1.995456869,0.078123862,2.162147526,0.704107668,0.001160651,0.068005502,1.510698156,0.093286949,1.689529436,0.285117522,0.279383032,0.393462181,0.275362319,0.429691102,0.349804941,0.823153283,0.477993818,0.522006182,-0.00584,-0.00217,-0.00368,0.07667,-0.00595,-0.00067,-0.02218,0.00182,-0.01235,-0.00355,0.00049,-0.00489,0,0.00075,0,-0.00414,-0.00352
25290,PM6_321136,PM6,BTP-4F-12 (Y12)_321125,Y12,PM6-Y12,25290_B-1,xylene,0,23,2000,156.6635552,2.00147,0.08033,2.16606,0.62571,0.00647,0.06845,1.53339,0.09138,1.70203,0.29086,0.28063,0.40139,0.27536,0.43162,0.3498,0.83301,0.48186,0.51814,0.38,0.538,0.35,58.39748995,26.383395,12.78568531,0.829849145,1.099646,0.968900738,29.01239478,28.11013072,0.829849145,23.6072,0.7644,62.51,11.279,2.776195,0.065449145,-4.11251005,1.50668531,0.894774914,0.921131274,1.070422719,0.882158424,13.11.2023 14:15,B-1,1.12E-06,0.6,0.6,5.53,5.33,3.77,3.38,1.56,1.920015901,1.406558059,4.123441941,3.409984099,1.206558059,1.002191281,0.376708914,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-NoWDonorWH2-AddInt-NewPTQ10BTP4F12-NoBG-ZnOCorr_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-NoWDonorWH2-AddInt-NewPTQ10BTP4F12-NoBG-ZnOCorr,0.310578205,24.10.2023 13:41,25290_187773_OD_x1y2,x1y2,0.00647864,0.6,0.6,1,1,1,0,0,0,0,1,0,0,0,0,3,1.995683499,0.078213779,2.162216265,0.701665515,0.0021834,0.067833971,1.511058107,0.093250661,1.68953982,0.280235534,0.275420615,0.386725037,0.275362319,0.423596906,0.349804941,0.810321942,0.47724863,0.52275137,-0.00578,-0.00212,-0.00385,0.07595,-0.00428,-0.00062,-0.02233,0.00187,-0.01249,-0.01063,-0.00521,-0.01467,0,-0.00802,0,-0.02269,-0.00461
