plan_Info_PID,plan_Solutions_1_M1,plan_Solutions_1_M2,plan_Solutions_1_S1,plan_Solutions_1_ann. time,plan_Solutions_1_conc.,plan_Solutions_1_speed,features_A.1.c_UV,features_A.1.w_UV,features_A.1a.c_UV,features_A.1a.w_UV,features_A_UV,features_Atot_UV,features_D.1.c_UV,features_D.1a.c_UV,features_D_UV,features_Dtot_UV,features_XA_UV,features_XD_UV,features_XamA_UV,features_XamD_UV,features_atot_UV,FF_IV,JSC_IV,PCE_IV,VOC_IV,date_IV,pos_IV,sigp_IV,xpos_IV,ypos_IV,EnergyLevel_HOMO_Acceptor,EnergyLevel_HOMO_Donor,EnergyLevel_LUMO_Acceptor,EnergyLevel_LUMO_Donor,EnergyLevel_Offset,plan2_Solutions_1_M1,plan2_Solutions_1_M2,plan2_Solutions_1_S1,FitSessionName,Overall_FitSessionName,FOM_UV,date_UV,name_UV,pos_UV,res_UV,xpos_UV,ypos_UV,PseudoFeature_M1,PseudoFeature_M2,HotOneEncoded_plan_Solutions_1_M1_PM6_321136,HotOneEncoded_plan_Solutions_1_M1_PTVT-T_321032,HotOneEncoded_plan_Solutions_1_M1_PTQ10_321145,HotOneEncoded_plan_Solutions_1_M1_PCE10_120058,HotOneEncoded_plan_Solutions_1_M1_D18CL_323001,HotOneEncoded_plan_Solutions_1_M2_BTP-4F-12 (Y12)_321125,HotOneEncoded_plan_Solutions_1_M2_ITIC_120057,HotOneEncoded_plan_Solutions_1_M2_ITIC-4F_120033,HotOneEncoded_plan_Solutions_1_M2_L8-BO_321144,HotOneEncoded_plan_Solutions_1_M2_PY-IT_321127,Paper_PID
25288,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,27,2000,1.531249208,0.070609808,1.701296684,0.092950584,0.382247118,0.587896068,2.000154212,2.158065893,0.380345243,0.524876436,0.528316494,0.471683506,0.349804941,0.275362319,1.112772504,47.9164555,24.64660334,9.778906442,0.828034688,13.11.2023 14:10,B-3,5.19E-07,1.4,0.6,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt,0.142651345,24.10.2023 13:30,25288_187767_OD_x3y2,x3y2,0.011877181,1.4,0.6,1,1,1,0,0,0,0,1,0,0,0,0,1
25288,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,27,2000,1.531392169,0.070618933,1.701341046,0.092999028,0.383776785,0.590248695,2.000246519,2.158050375,0.38154075,0.526526235,0.528529679,0.471470321,0.349804941,0.275362319,1.116774931,47.80576817,24.20833204,9.596256312,0.829194992,13.11.2023 14:10,A-3,1.75E-06,1.4,1.4,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt,0.142053766,24.10.2023 13:30,25288_187767_OD_x3y1,x3y1,0.011857129,1.4,1.4,1,1,1,0,0,0,0,1,0,0,0,0,1
25288,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,27,2000,1.530937555,0.070696348,1.701092584,0.093038348,0.383616841,0.590002701,2.000125201,2.158100678,0.382084871,0.527277122,0.528070667,0.471929333,0.349804941,0.275362319,1.117279823,47.56083048,24.32561568,9.581414878,0.828164052,13.11.2023 14:10,B-1,5.13E-07,0.6,0.6,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt,0.14217167,24.10.2023 13:30,25288_187767_OD_x1y2,x1y2,0.011891342,0.6,0.6,1,1,1,0,0,0,0,1,0,0,0,0,1
25288,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,27,2000,1.531202206,0.07068149,1.701273372,0.093032332,0.383808775,0.590297896,2.000212694,2.158148639,0.381960439,0.527105406,0.528276492,0.471723508,0.349804941,0.275362319,1.117403302,47.62976296,24.21433651,9.573079611,0.830043163,13.11.2023 14:10,A-1,5.55E-07,0.6,1.4,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt,0.141980955,24.10.2023 13:30,25288_187767_OD_x1y1,x1y1,0.01186156,0.6,1.4,1,1,1,0,0,0,0,1,0,0,0,0,1
25289,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,25,2000,1.532819294,0.068778843,1.701518231,0.091468986,0.334943258,0.515142731,1.999139169,2.157554393,0.339098834,0.467956391,0.52399877,0.47600123,0.349804941,0.275362319,0.983099122,51.8182822,27.23962347,11.67990146,0.827475353,13.11.2023 14:13,B-3,2.56E-06,1.4,0.6,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt,0.167858744,24.10.2023 13:35,25289_187768_OD_x3y2,x3y2,0.012478932,1.4,0.6,1,1,1,0,0,0,0,1,0,0,0,0,2
25289,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,25,2000,1.53222046,0.068928682,1.701225004,0.091665851,0.337060084,0.51839841,1.999114424,2.157609933,0.340793557,0.470295109,0.5243267,0.4756733,0.349804941,0.275362319,0.988693518,51.38096039,27.30688007,11.61874816,0.828104296,13.11.2023 14:13,B-1,4.33E-06,0.6,0.6,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt,0.166746052,24.10.2023 13:35,25289_187768_OD_x1y2,x1y2,0.012460632,0.6,0.6,1,1,1,0,0,0,0,1,0,0,0,0,2
25289,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,25,2000,1.53270429,0.068917588,1.701557945,0.091537309,0.337514849,0.519097838,1.999079809,2.157559383,0.34133432,0.471041361,0.524267536,0.475732464,0.349804941,0.275362319,0.990139199,51.84126249,26.98428297,11.58858356,0.828407276,13.11.2023 14:13,A-3,2.46E-06,1.4,1.4,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt,0.166003793,24.10.2023 13:35,25289_187768_OD_x3y1,x3y1,0.012429591,1.4,1.4,1,1,1,0,0,0,0,1,0,0,0,0,2
25289,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,25,2000,1.532580713,0.069023003,1.701436947,0.091717189,0.342029605,0.526041533,1.999282298,2.157587454,0.345756907,0.477144531,0.524370854,0.475629146,0.349804941,0.275362319,1.003186064,50.93764906,27.17650194,11.4837477,0.82956647,13.11.2023 14:13,A-1,3.81E-06,0.6,1.4,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt,0.16313203,24.10.2023 13:35,25289_187768_OD_x1y1,x1y1,0.012367416,0.6,1.4,1,1,1,0,0,0,0,1,0,0,0,0,2
25290,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,23,2000,1.532407635,0.069191333,1.701170188,0.09169319,0.279164608,0.429355167,1.998475017,2.156599368,0.28030759,0.386824474,0.526054737,0.473945263,0.349804941,0.275362319,0.816179641,58.52467295,26.37225273,12.81880177,0.83054125,13.11.2023 14:15,A-1,8.11E-07,0.6,1.4,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt,0.177658344,24.10.2023 13:41,25290_187773_OD_x1y1,x1y1,0.01163686,0.6,1.4,1,1,1,0,0,0,0,1,0,0,0,0,3
25290,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,23,2000,1.532954261,0.068898657,1.701332274,0.091531117,0.280815481,0.431894209,1.99856069,2.15666726,0.282353873,0.389648344,0.525711307,0.474288693,0.349804941,0.275362319,0.821542553,58.39748995,26.383395,12.78568531,0.829849145,13.11.2023 14:15,B-1,1.12E-06,0.6,0.6,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt,0.178581637,24.10.2023 13:41,25290_187773_OD_x1y2,x1y2,0.011727655,0.6,0.6,1,1,1,0,0,0,0,1,0,0,0,0,3
25290,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,23,2000,1.533593307,0.068741021,1.701591753,0.09147911,0.279336348,0.429619304,1.998730958,2.156621437,0.281090066,0.387904291,0.525513033,0.474486967,0.349804941,0.275362319,0.817523594,58.20494287,26.23225512,12.66127715,0.829243394,13.11.2023 14:15,B-3,1.35E-06,1.4,0.6,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt,0.179511288,24.10.2023 13:41,25290_187773_OD_x3y2,x3y2,0.011729357,1.4,0.6,1,1,1,0,0,0,0,1,0,0,0,0,3
25290,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,23,2000,1.5319393,0.069782287,1.700982506,0.092148404,0.270975351,0.416760089,1.998402263,2.155986092,0.271295027,0.374387137,0.526779435,0.473220565,0.349804941,0.275362319,0.791147226,57.76419676,25.99830155,12.44292373,0.828550004,13.11.2023 14:15,A-3,1.30E-06,1.4,1.4,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt,0.187364705,24.10.2023 13:41,25290_187773_OD_x3y1,x3y1,0.011559707,1.4,1.4,1,1,1,0,0,0,0,1,0,0,0,0,3
25291,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,23,1000,1.530187676,0.072394303,1.701221271,0.094098522,0.419046812,0.644493997,2.001024755,2.158677852,0.415211879,0.572992392,0.529364437,0.470635563,0.349804941,0.275362319,1.21748639,46.56550351,25.63623761,9.789595369,0.820060984,13.11.2023 14:18,A-1,2.80E-06,0.6,1.4,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt,0.167917421,24.10.2023 13:47,25291_187774_OD_x1y1,x1y1,0.013271762,0.6,1.4,1,1,1,0,0,0,0,1,0,0,0,0,4
25291,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,23,1000,1.530683993,0.072124916,1.701268521,0.094035355,0.419901022,0.645807772,2.001075647,2.158590625,0.416814583,0.575204124,0.528911941,0.471088059,0.349804941,0.275362319,1.221011896,46.55947455,25.64821416,9.768586131,0.818024872,13.11.2023 14:18,B-1,3.33E-06,0.6,0.6,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt,0.169151379,24.10.2023 13:47,25291_187774_OD_x1y2,x1y2,0.013390083,0.6,0.6,1,1,1,0,0,0,0,1,0,0,0,0,4
25291,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,23,1000,1.53099307,0.071813635,1.701338051,0.093821606,0.415796672,0.639495281,2.00092777,2.158438755,0.412675959,0.569492823,0.528950846,0.471049154,0.349804941,0.275362319,1.208988105,46.59625217,24.99811604,9.555223511,0.820318647,13.11.2023 14:18,A-3,2.99E-06,1.4,1.4,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt,0.166490821,24.10.2023 13:47,25291_187774_OD_x3y1,x3y1,0.013235022,1.4,1.4,1,1,1,0,0,0,0,1,0,0,0,0,4
25291,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,0,23,1000,1.530904205,0.072055026,1.701377444,0.093971803,0.42081589,0.647214839,2.001080326,2.158524213,0.416588439,0.574892046,0.529589389,0.470410611,0.349804941,0.275362319,1.222106885,46.00570179,25.11270772,9.44318185,0.817359568,13.11.2023 14:18,B-2,2.71E-06,1,0.6,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt,0.16824753,24.10.2023 13:47,25291_187774_OD_x2y2,x2y2,0.013337139,1,0.6,1,1,1,0,0,0,0,1,0,0,0,0,4
25292,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,2,23,1000,1.512020947,0.069828892,1.68965524,0.094800096,0.425161545,0.653898456,1.997151472,2.158678203,0.410887709,0.567025038,0.535576929,0.464423071,0.349804941,0.275362319,1.220923495,47.46906613,25.77554762,9.775360003,0.798940012,13.11.2023 14:20,B-3,8.88E-07,1.4,0.6,5.53,5.33,3.77,3.38,1.56,PM6_321136,BTP-4F-12 (Y12)_321125,xylene,Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt_PM6:BTP-4F-12 (Y12),Jonas_DonorAcceptor-NoWidthOrderedDonor-No2bandHeight-NoInt,0.183413633,24.10.2023 13:52,25292_187775_OD_x3y2,x3y2,0.01487039,1.4,0.6,1,1,1,0,0,0,0,1,0,0,0,0,5
