ID,Donor,Acceptor,DA,plan_Solutions_1_S1,plan_Solutions_1_ann. time,plan_Solutions_1_conc.,plan_Solutions_1_speed,Layer thickness [nm],features_D.1.c_UV,features_D.1a.w_UV,features_D.1a.c_UV,features_D.2.a_UV,features_A.0.a_UV,features_A.1.w_UV,features_A.1.c_UV,features_A.1a.w_UV,features_atot_UV,features_XD_UV,features_XA_UV,FF_IV,JSC_IV,PCE_IV,VOC_IV,Deg_JSC_IV,Deg_VOC_IV,Deg_FF_IV,Deg_PCE_IV,Retained_JSC_IV,Retained_VOC_IV,Retained_FF_IV,Retained_PCE_IV,HotOneEncoded_plan_Solutions_1_M1_PM6_321136,HotOneEncoded_plan_Solutions_1_M1_PTVT-T_321032,HotOneEncoded_plan_Solutions_1_M1_PTQ10_321145,HotOneEncoded_plan_Solutions_1_M1_PCE10_120058,HotOneEncoded_plan_Solutions_1_M1_D18CL_323001,HotOneEncoded_plan_Solutions_1_M2_BTP-4F-12 (Y12)_321125,HotOneEncoded_plan_Solutions_1_M2_ITIC_120057,HotOneEncoded_plan_Solutions_1_M2_ITIC-4F_120033,HotOneEncoded_plan_Solutions_1_M2_L8-BO_321144,HotOneEncoded_plan_Solutions_1_M2_PY-IT_321127
1,PM6,Y12,PM6-Y12,xylene,0,27,2000,213.3722591,2.00321375,0.079905195,2.166955273,0.633710672,3.83459E-13,0.070753509,1.531423898,0.093344261,0.588916337,0.477945201,0.522054799,47.9164555,24.64660334,9.778906442,0.828034688,24.3264,0.7649,57.35,10.6705,0.987008216,0.923753571,1.19687484,1.09117518,1,0,0,0,0,1,0,0,0,0
1,PM6,Y12,PM6-Y12,xylene,0,27,2000,214.1618391,2.003285778,0.079932535,2.166923401,0.633895684,0.000240621,0.070736791,1.531577552,0.09336826,0.591209535,0.47776052,0.52223948,47.80576817,24.20833204,9.596256312,0.829194992,24.0074,0.7663,56.55,10.4031,0.991699881,0.924149334,1.182911648,1.084079006,1,0,0,0,0,1,0,0,0,0
1,PM6,Y12,PM6-Y12,xylene,0,27,2000,214.2545242,2.00316916,0.079931953,2.166994666,0.633633765,0.000298197,0.0708092,1.531126947,0.093404282,0.590953124,0.478241671,0.521758329,47.56083048,24.32561568,9.581414878,0.828164052,24.4861,0.7686,57.19,10.7628,1.006597338,0.928076989,1.202460079,1.123299652,1,0,0,0,0,1,0,0,0,0
1,PM6,Y12,PM6-Y12,xylene,0,27,2000,214.3026232,2.003261903,0.079886419,2.167074395,0.633016712,0.000493345,0.070774397,1.531401476,0.093380997,0.591205295,0.478096435,0.521903565,47.62976296,24.21433651,9.573079611,0.830043163,0.0085,0,0,0.0041,0.000351032,0,0,0.000428284,1,0,0,0,0,1,0,0,0,0
2,PM6,Y12,PM6-Y12,xylene,0,25,2000,187.7981907,2.002132793,0.079938827,2.166265408,0.63598968,6.56451E-21,0.068915679,1.532985641,0.091845407,0.516020169,0.482131616,0.517868384,51.8182822,27.23962347,11.67990146,0.827475353,21.9534,0.7476,59.82,9.8173,0.80593625,0.903471019,1.154418816,0.840529352,1,0,0,0,0,1,0,0,0,0
2,PM6,Y12,PM6-Y12,xylene,0,25,2000,188.9231124,2.002061546,0.079870646,2.166173325,0.637738735,3.11157E-14,0.069063606,1.532384411,0.092036929,0.519266442,0.481704234,0.518295766,51.38096039,27.30688007,11.61874816,0.828104296,23.6684,0.7552,59.69,10.6694,0.866755922,0.911962423,1.161714369,0.9182917,1,0,0,0,0,1,0,0,0,0
2,PM6,Y12,PM6-Y12,xylene,0,25,2000,189.1884675,2.002055946,0.079951364,2.166215153,0.636783211,1.33989E-14,0.06905431,1.532870355,0.091912548,0.519978989,0.48181638,0.51818362,51.84126249,26.98428297,11.58858356,0.828407276,22.0958,0.7473,59.65,9.8482,0.81883962,0.902092511,1.150627842,0.84981913,1,0,0,0,0,1,0,0,0,0
2,PM6,Y12,PM6-Y12,xylene,0,25,2000,191.7301476,2.002268175,0.079920053,2.166273237,0.636261188,6.26139E-14,0.069159809,1.532747382,0.092094069,0.526934915,0.481744614,0.518255386,50.93764906,27.17650194,11.4837477,0.82956647,23.0289,0.7521,57.54,9.9661,0.847382789,0.906618128,1.129616326,0.867843866,1,0,0,0,0,1,0,0,0,0
3,PM6,Y12,PM6-Y12,xylene,0,23,2000,155.6745536,2.001295924,0.080297468,2.165832425,0.627440028,0.007109282,0.068671327,1.532876384,0.091469932,0.428940817,0.48151573,0.51848427,58.52467295,26.37225273,12.81880177,0.83054125,23.1666,0.7636,62.93,11.1324,0.878446003,0.919400451,1.075272989,0.868443104,1,0,0,0,0,1,0,0,0,0
3,PM6,Y12,PM6-Y12,xylene,0,23,2000,156.6635552,2.001465967,0.080334418,2.166063128,0.625714726,0.006468022,0.068452894,1.533389704,0.091378882,0.431616456,0.481857389,0.518142611,58.39748995,26.383395,12.78568531,0.829849145,23.6072,0.7644,62.51,11.279,0.894774914,0.921131274,1.070422719,0.882158424,1,0,0,0,0,1,0,0,0,0
